,Active Calories,Resting Calories,Total
Dec 4,107,1923,2030
Dec 5,505,1934,2439
Dec 6,73,1936,2009
Dec 7,122,1926,2048
Dec 8,109,1934,2043
Dec 9,102,1933,2035
Dec 10,203,1931,2134
Dec 11,174,1925,2099
Dec 12,338,1930,2268
Dec 13,484,1930,2414
Dec 14,684,1930,2614
Dec 15,151,1930,2081
Dec 16,164,1938,2102
Dec 17,180,1936,2116
Dec 18,262,1939,2201
Dec 19,179,1937,2116
Dec 20,140,1937,2077
Dec 21,234,1934,2168
Dec 22,264,1934,2198
Dec 23,311,1934,2245
Dec 24,276,1942,2218
Dec 25,98,1942,2040
Dec 26,116,1942,2058
Dec 27,490,1939,2429
Dec 28,79,1939,2018
Dec 29,300,1937,2237
Dec 30,256,1939,2195
Dec 31,165,1342,1507
