,Active Calories,Resting Calories,Total
Mar 27,159,1943,2102
Mar 28,292,1944,2236
Mar 29,432,1943,2375
Mar 30,409,1943,2352
Mar 31,122,1931,2053
Apr 1,343,1931,2274
Apr 2,154,1936,2090
Apr 3,142,1932,2074
Apr 4,162,1932,2094
Apr 5,773,1931,2704
Apr 6,855,1931,2786
Apr 7,785,1931,2716
Apr 8,388,1931,2319
Apr 9,114,1954,2068
Apr 10,218,1942,2160
Apr 11,108,1939,2047
Apr 12,155,1944,2099
Apr 13,353,1944,2297
Apr 14,114,1944,2058
Apr 15,131,1943,2074
Apr 16,171,1941,2112
Apr 17,169,1938,2107
Apr 18,146,1938,2084
Apr 19,101,1942,2043
Apr 20,116,1942,2058
Apr 21,101,1936,2037
Apr 22,211,1928,2139
Apr 23,214,1932,2146
