,Active Calories,Resting Calories,Total
Jun 19,69,1934,2003
Jun 20,225,1934,2159
Jun 21,139,1936,2075
Jun 22,177,1928,2105
Jun 23,87,1925,2012
Jun 24,312,1938,2250
Jun 25,148,1931,2079
Jun 26,248,1930,2178
Jun 27,90,1933,2023
Jun 28,443,1932,2375
Jun 29,177,1931,2108
Jun 30,76,1932,2008
Jul 1,298,1934,2232
Jul 2,121,1932,2053
Jul 3,187,1933,2120
Jul 4,198,1933,2131
Jul 5,55,1936,1991
Jul 6,94,1928,2022
Jul 7,182,1931,2113
Jul 8,198,1931,2129
Jul 9,112,1928,2040
Jul 10,82,1927,2009
Jul 11,167,1938,2105
Jul 12,151,1932,2083
Jul 13,379,1928,2307
Jul 14,254,1932,2186
Jul 15,225,1932,2157
Jul 16,95,1933,2028
