,Active Calories,Resting Calories,Total
Apr 24,181,1931,2112
Apr 25,218,1932,2150
Apr 26,193,1930,2123
Apr 27,207,1925,2132
Apr 28,307,1925,2232
Apr 29,208,1932,2140
Apr 30,172,1931,2103
May 1,210,1932,2142
May 2,165,1932,2097
May 3,196,1927,2123
May 4,118,1925,2043
May 5,136,1939,2075
May 6,161,1939,2100
May 7,184,1936,2120
May 8,278,1936,2214
May 9,228,1933,2161
May 10,157,1931,2088
May 11,258,1931,2189
May 12,192,1936,2128
May 13,290,1938,2228
May 14,269,1934,2203
May 15,175,1937,2112
May 16,103,1934,2037
May 17,204,1934,2138
May 18,120,1942,2062
May 19,281,1942,2223
May 20,88,1943,2031
May 21,231,1942,2173
